1|भारतीय अर्थव्यवस्था और नियोजन|An economy allocates scarce resources among competing uses. India's development story is best understood through structural transformation, institutions and distribution: how workers move between sectors, how productive capacity grows, and who benefits. Planning is one method of coordinating development; it is not synonymous with public ownership of every activity.|Growth is an increase in output; development also concerns capabilities, distribution, institutions and quality of life.~Primary, secondary and tertiary sectors classify activity, while organised/unorganised and public/private classifications answer different questions.~A high share of employment in a low-productivity sector can constrain average incomes even when another sector grows rapidly.~India's historical plans combined public investment, regulation and targets; NITI Aayog has a different advisory and cooperative role from the Planning Commission.~Market failures include externalities, public goods, asymmetric information and market power; government intervention also faces information and incentive problems.~Human capital, infrastructure, investment, technology and institutional reliability interact to influence long-run productivity.~For a policy proposal, identify the objective, instrument, implementing institution, financing and measurable outcome.|A larger GDP does not by itself prove lower inequality, improved health or adequate employment creation.|Why is structural transformation necessary but insufficient for inclusive development in India?|niti|Growth versus development;Sectoral structure;Mixed economy;Planning institutions;Market failures;Human development;Structural transformation
2|राष्ट्रीय आय लेखांकन|National accounts measure production, income and expenditure using a consistent boundary. Start with where production occurs, which period it belongs to, whether depreciation is deducted, and whether values are measured at current or constant prices. Many apparently difficult questions are classification problems rather than arithmetic problems.|GDP measures the value of final production within domestic economic territory during a period; avoiding intermediate double counting is essential.~Gross value added equals output minus intermediate consumption. GDP at market prices equals aggregate GVA at basic prices plus product taxes minus product subsidies.~Gross national income equals GDP plus net primary income from the rest of the world; national and domestic are not interchangeable.~Net measures deduct consumption of fixed capital, commonly called depreciation in basic explanations.~The expenditure identity is GDP = C + I + G + (X − M); a rise in imports need not mean domestic welfare has fallen.~Nominal growth contains both price and volume changes. A price index or appropriate deflator is needed to compare real output.~GDP deflator = nominal GDP / real GDP × 100 when both use compatible valuation and coverage.~Unpaid household services, environmental depletion and distributional inequalities limit GDP as a welfare indicator.~Base years, methods and published series can change. Use the release date and methodology of MoSPI rather than assuming the photographed book's figures are current.|A transfer payment is not itself payment for current production; the later purchase financed by that transfer may enter final expenditure.|Evaluate the usefulness and limitations of GDP as a measure of economic progress.|mospi|Production method;Income method;Expenditure method;GDP and GVA;Domestic versus national;Gross versus net;Nominal versus real;Deflators;Welfare limitations
3|समावेशी वृद्धि|Inclusive growth concerns participation in the growth process as well as the distribution of its benefits. It is broader than redistribution after growth has occurred: education, health, finance, infrastructure and fair access to markets affect who can produce, earn and influence decisions.|Equal opportunity, decent work, social protection and access to basic services are connected dimensions.~Financial inclusion includes meaningful access, usage and quality—not merely an opened account.~Digital services can reduce transaction costs but connectivity, literacy and grievance redress determine whether exclusion persists.~A policy may raise average income while leaving regional, gender or social-group gaps unchanged.~Social spending should be assessed through outcomes and service quality as well as budget allocations.~Targeting can conserve resources but creates exclusion errors; universal provision has different fiscal and administrative trade-offs.~Disaggregate indicators and distinguish improvements in coverage from improvements in quality.|Growth that benefits some poor households is not automatically inclusive across all groups or regions.|Design an inclusive-growth strategy that integrates jobs, capabilities and social protection.|niti|Opportunity and outcomes;Financial inclusion;Social infrastructure;Gender and regional gaps;Digital inclusion;Targeting and universality
4|बेरोजगारी और गरीबी|Labour statistics and poverty statistics describe different aspects of deprivation. A person can be employed and still be poor; a person outside the labour force is not automatically counted as unemployed. Always identify the survey definition, reference period and denominator before interpreting a headline number.|The labour force includes employed persons and unemployed persons meeting the survey's seeking/availability criteria.~Unemployment rate = unemployed / labour force × 100; LFPR = labour force / relevant population × 100; WPR = employed / relevant population × 100.~Usual-status and current-weekly-status measures use different reference periods and cannot be compared casually.~Underemployment and disguised unemployment concern inadequate utilisation of labour, which a headline unemployment rate may miss.~Monetary poverty uses an income or consumption threshold; multidimensional poverty considers selected deprivations in several dimensions.~Poverty, inequality and vulnerability are related but distinct: a shock can impoverish a household not initially below a threshold.~Skill development alone cannot create demand for labour; investment, job quality, mobility and care responsibilities also matter.~Survey revisions and current poverty estimates require dated, comparable source data.|A fall in unemployment can accompany discouraged workers leaving the labour force; check LFPR and WPR before celebrating.|Why should employment policy track job quality and labour-force participation alongside unemployment?|mospi|Labour-force definitions;LFPR WPR unemployment rate;Survey reference periods;Disguised unemployment;Poverty measures;Inequality;Vulnerability;Employment policy
5|मुद्रा और बैंकिंग|Money supports exchange, accounting and storage of purchasing power. Banks connect payments, savings and credit, but bank lending is constrained by capital, liquidity, credit risk, regulation and demand. Monetary policy influences financial conditions through a chain of transmission rather than through a mechanical one-step command.|The RBI is the central bank; commercial banks and other financial institutions perform different intermediary roles.~Currency held by the public and deposits appear in different monetary aggregates; an aggregate's definition matters before comparing growth rates.~A bank's deposit liability is not the same as its equity capital. Liquidity concerns timely payments; solvency concerns whether assets can cover liabilities.~Policy-rate changes can affect money-market rates, lending rates, demand and prices, but transmission has lags and varies by sector.~CRR concerns prescribed cash reserves with RBI; SLR concerns specified liquid assets held under the applicable framework.~Open-market purchases generally inject durable rupee liquidity; sales generally absorb it, other things equal.~Repo, standing facilities and the liquidity corridor must be studied through their actual operational definitions; rates and instruments can change.~Non-performing assets concern loan performance under applicable classification rules; a write-off is not automatically a waiver of a borrower's debt.~Inflation can arise from demand, costs, supply shocks and expectations; higher interest rates cannot directly create missing food supply.~Deposit insurance is limited and conditional under the applicable law; never assume every financial product has an unlimited guarantee.|Do not infer that every increase in reserve money produces a fixed multiple increase in lending regardless of credit demand, cash holdings and bank constraints.|Explain the monetary transmission mechanism and why it may weaken in a stressed banking system.|rbi|Functions of money;Monetary aggregates;Central banking;Commercial bank balance sheets;Liquidity and solvency;Monetary policy;CRR and SLR;Repo and standing facilities;NPAs;Financial inclusion;Inflation
6|कृषि|Agricultural outcomes depend on land, water, labour, technology, risk and market organisation. Productivity, farm income and food security overlap but are not identical objectives. A good answer follows the chain from inputs and production to storage, processing, sale and household welfare.|Yield is output per unit of cultivated area; higher yield does not guarantee higher net income when input costs or prices change unfavourably.~Irrigation can reduce rainfall dependence but poorly priced extraction can deplete groundwater.~Small holdings can face disadvantages in marketing and access to equipment; aggregation and producer organisations may improve bargaining and services.~Minimum support prices, procurement, market prices and legal entitlement are distinct concepts; procurement is not universal across all crops and regions.~Food security has availability, access, utilisation and stability dimensions.~Storage, cold chains, logistics and processing can reduce losses and improve value realisation.~Credit and insurance help manage risk but depend on access, design, timely settlement and incentives.~Input subsidies, price support and direct transfers have different distributional and environmental effects.~Agricultural shares, MSP amounts and procurement rules must be dated and sourced.|Record food production can coexist with malnutrition if purchasing power, distribution, diet diversity or sanitation are inadequate.|How can agricultural policy improve farmer incomes while protecting water, soil and food security?|agriculture|Productivity and income;Irrigation;Farm size;Credit and insurance;MSP and procurement;Agricultural markets;Food security;Supply chains;Sustainability
7|उद्योग|Industrial development expands productive capabilities through investment, learning and linkages. Assess manufacturing through employment, productivity, technology, scale and integration with suppliers rather than only its aggregate output share.|Industrialisation can create demand for agriculture, logistics and services through backward and forward linkages.~Large firms may realise scale economies, while smaller firms can contribute employment and specialised supply relationships.~Formalisation can improve access to credit and protection but may impose transition costs on small enterprises.~Industrial policy can address coordination and learning failures but needs transparent selection, time limits and performance evaluation.~Credit constraints, electricity reliability, skills, land and logistics affect competitiveness.~The Index of Industrial Production measures selected output movements; it is not identical to the full national-accounts measure of industry.~Bankruptcy and exit arrangements can improve resource reallocation but must protect due process.~Current incentive schemes and enterprise-classification thresholds need updated sources.|An increase in output caused by prices is not necessarily an increase in physical production or productivity.|What conditions are necessary for manufacturing growth to generate broad-based productive employment?|mospi|Structural transformation;MSMEs;Industrial policy;Productivity;Employment;IIP;Formalisation;Competition and exit
8|अवसंरचना|Infrastructure supplies network services that support production and human development. Projects often involve high upfront costs, long lives, externalities and coordination problems, making financing, regulation and maintenance central to policy.|Transport, energy, water, sanitation, communications and social infrastructure have different service and funding models.~Network effects can raise the benefit of connecting an additional user when others are already connected.~Natural-monopoly characteristics may justify regulation of access, price or service quality.~A project can be financially weak but socially valuable; economic appraisal and private cash-flow appraisal answer different questions.~Construction completion is not the same as reliable service delivery; maintenance funding matters.~Land, environmental approvals, demand uncertainty and contract enforcement affect project risk.~Resilience and accessibility should be designed in, rather than treated solely as post-disaster repairs.|A large capital allocation does not demonstrate that bottlenecks have been removed or that users receive a good service.|How should India prioritise infrastructure investment under fiscal and environmental constraints?|budget|Network effects;Public goods;Project appraisal;Transport and energy;Urban services;Maintenance;Regulation;Resilience
9|सरकारी बजट|A budget is both a financial plan and a statement of policy priorities. Read it through receipts, expenditure, balances, authorisation and outcomes. A deficit is a precisely defined accounting gap, not a synonym for every form of government debt or every macroeconomic problem.|Revenue receipts include tax and non-tax receipts that do not create liabilities or reduce assets.~Capital receipts include borrowing and transactions such as recovery of loans or disinvestment; distinguish debt from non-debt receipts.~Revenue expenditure and capital expenditure are accounting categories; a revenue expense such as teacher salaries may still produce major social benefits.~Revenue deficit = revenue expenditure − revenue receipts.~Fiscal deficit = total expenditure − revenue receipts − non-debt capital receipts. It indicates the financing gap met through borrowing and other liabilities under the accounting framework.~Primary deficit = fiscal deficit − interest payments.~Debt is a stock at a point in time; deficits are flows over a period. Valuation and other adjustments can affect the relationship.~An Appropriation Act authorises specified withdrawals, while taxation requires its own legal basis; a budget speech alone does not enact a tax.~Countercyclical fiscal policy can stabilise demand, but financing costs, inflation, external constraints and spending quality matter.~FRBM targets, escape provisions and current budget estimates require the applicable year's official documents.|Do not classify all revenue expenditure as waste or assume that every capital project has a high social return.|Discuss how fiscal consolidation can be reconciled with productive investment and social protection.|budget|Budget receipts;Revenue and capital expenditure;Revenue deficit;Fiscal deficit;Primary deficit;Debt dynamics;Budget authorisation;FRBM;Fiscal multipliers;Outcome budgeting
10|निवेश मॉडल|Investment models assign ownership, financing, construction, operation and risk among public and private participants. A label such as PPP does not establish value for money; the contract and actual allocation of controllable risks determine outcomes.|Public investment can deliver services whose social benefits exceed commercially recoverable revenue.~Private investment responds to expected returns, financing costs, demand and the reliability of contracts.~A public–private partnership is a contractual arrangement; ownership and payment structures vary.~Build–Operate–Transfer, annuity and hybrid-annuity models allocate construction and demand risks differently.~Risk should generally be assigned to the party best able to control or manage it, not simply pushed to the weaker negotiating party.~Contingent liabilities, guarantees and renegotiation can create future fiscal obligations not obvious in the initial project cost.~Appraisal should compare lifecycle costs, service standards, affordability and realistic demand forecasts.|PPP is not free infrastructure and does not automatically remove public financial risk.|Under what conditions can PPPs deliver better value than conventional public procurement?|budget|Public investment;Private investment;PPP;BOT and annuity;Risk allocation;Contingent liabilities;Lifecycle costs;Contract design
11|भारत में आर्थिक सुधार|Economic reforms change the rules governing production, trade, finance and public intervention. The 1991 reforms are a major historical turning point, but reform is a continuing process involving stabilisation, structural change and distributional choices.|Macroeconomic stabilisation addresses immediate imbalances; structural reforms alter incentives, institutions and market organisation.~Liberalisation reduces selected restrictions, privatisation changes ownership or private participation, and globalisation deepens international integration.~Industrial delicensing and trade reforms changed competitive conditions, but sectors did not all face identical rules.~Competition, financial regulation and social protection become more—not less—important when markets expand.~Disinvestment may be a partial sale without transfer of management; strategic privatisation involves a different degree of control transfer.~Reforms can raise efficiency while producing adjustment costs for workers, regions or firms.~Evaluation requires a counterfactual and attention to complementary institutions, not a simple before-and-after slogan.|Liberalisation is not the complete withdrawal of the state, and disinvestment is not always privatisation.|Assess the relationship between market-oriented reform, state capacity and inclusive development.|rbi|1991 crisis context;Stabilisation;Liberalisation;Privatisation;Global integration;Competition;Adjustment costs;Reform evaluation
